지점번호,지점,일시,기온,강수량
108,서울,2017-04-17 21,12.8,
108,서울,2017-04-17 22,12.1,
108,서울,2017-04-17 23,11.5,
108,서울,2017-04-18 00,11.2,
108,서울,2017-04-18 01,10.9,
108,서울,2017-04-18 02,10.6,
108,서울,2017-04-18 03,10.4,
108,서울,2017-04-18 04,9.9,
108,서울,2017-04-18 05,9.8,
108,서울,2017-04-18 06,10.1,
108,서울,2017-04-18 07,10.7,
108,서울,2017-04-18 08,11.8,
108,서울,2017-04-18 09,13.5,
108,서울,2017-04-18 10,14.5,
108,서울,2017-04-18 11,17.2,
108,서울,2017-04-18 12,16.6,
108,서울,2017-04-18 13,14.4,3.0
108,서울,2017-04-18 14,12.7,1.0
108,서울,2017-04-18 15,11.6,2.5
108,서울,2017-04-18 16,11.5,1.0
108,서울,2017-04-18 17,11.2,
108,서울,2017-04-18 18,11.4,
108,서울,2017-04-18 19,11.4,
108,서울,2017-04-18 20,10.8,
108,서울,2017-04-18 21,10.4,
108,서울,2017-04-18 22,9.9,
108,서울,2017-04-18 23,9.6,
108,서울,2017-04-19 00,9.4,
108,서울,2017-04-19 01,8.8,
108,서울,2017-04-19 02,8.6,
108,서울,2017-04-19 03,8.0,
108,서울,2017-04-19 04,7.5,
108,서울,2017-04-19 05,7.1,
108,서울,2017-04-19 06,7.0,
108,서울,2017-04-19 07,7.7,
108,서울,2017-04-19 08,9.8,
108,서울,2017-04-19 09,12.2,
108,서울,2017-04-19 10,13.7,
108,서울,2017-04-19 11,15.3,
108,서울,2017-04-19 12,15.8,
108,서울,2017-04-19 13,17.2,
108,서울,2017-04-19 14,17.9,
108,서울,2017-04-19 15,18.2,
108,서울,2017-04-19 16,17.7,
108,서울,2017-04-19 17,17.4,
108,서울,2017-04-19 18,16.0,
108,서울,2017-04-19 19,14.2,
108,서울,2017-04-19 20,12.7,
108,서울,2017-04-19 21,12.1,
108,서울,2017-04-19 22,11.2,
108,서울,2017-04-19 23,11.1,
108,서울,2017-04-20 00,11.4,
108,서울,2017-04-20 01,11.4,
108,서울,2017-04-20 02,10.7,0.1
108,서울,2017-04-20 03,10.7,
108,서울,2017-04-20 04,10.9,
108,서울,2017-04-20 05,10.4,
108,서울,2017-04-20 06,10.0,
108,서울,2017-04-20 07,10.1,
108,서울,2017-04-20 08,10.9,
108,서울,2017-04-20 09,12.1,
108,서울,2017-04-20 10,12.5,
108,서울,2017-04-20 11,13.3,
108,서울,2017-04-20 12,15.5,
108,서울,2017-04-20 13,17.2,
108,서울,2017-04-20 14,18.1,
108,서울,2017-04-20 15,17.7,
108,서울,2017-04-20 16,17.2,
108,서울,2017-04-20 17,16.7,
108,서울,2017-04-20 18,15.3,
108,서울,2017-04-20 19,14.0,
108,서울,2017-04-20 20,12.9,
108,서울,2017-04-20 21,11.8,
108,서울,2017-04-20 22,11.1,
108,서울,2017-04-20 23,10.5,
108,서울,2017-04-21 00,9.9,
108,서울,2017-04-21 01,9.2,
108,서울,2017-04-21 02,8.9,
108,서울,2017-04-21 03,8.7,
108,서울,2017-04-21 04,8.2,
108,서울,2017-04-21 05,7.9,
108,서울,2017-04-21 06,7.6,
108,서울,2017-04-21 07,8.1,
108,서울,2017-04-21 08,10.1,
108,서울,2017-04-21 09,12.7,
108,서울,2017-04-21 10,15.0,
108,서울,2017-04-21 11,16.6,
108,서울,2017-04-21 12,18.2,
108,서울,2017-04-21 13,18.5,
108,서울,2017-04-21 14,18.8,
108,서울,2017-04-21 15,18.5,
108,서울,2017-04-21 16,17.5,
108,서울,2017-04-21 17,16.8,
108,서울,2017-04-21 18,15.9,
108,서울,2017-04-21 19,14.5,
108,서울,2017-04-21 20,13.1,
108,서울,2017-04-21 21,12.3,
108,서울,2017-04-21 22,11.7,
108,서울,2017-04-21 23,11.0,
108,서울,2017-04-22 00,10.6,
108,서울,2017-04-22 01,10.3,
