LocNumber,Loc,Date,Temp,Prec
108,서울,2017-01-12 22,-5.3,
108,서울,2017-01-12 23,-5.7,
108,서울,2017-01-13 00,-6.1,
108,서울,2017-01-13 01,-6.4,
108,서울,2017-01-13 02,-6.6,
108,서울,2017-01-13 03,-6.6,
108,서울,2017-01-13 04,-7.2,
108,서울,2017-01-13 05,-7.2,
108,서울,2017-01-13 06,-7.4,
108,서울,2017-01-13 07,-7.2,
108,서울,2017-01-13 08,-6.7,
108,서울,2017-01-13 09,-6.9,0.0
108,서울,2017-01-13 10,-6.9,
108,서울,2017-01-13 11,-7.0,
108,서울,2017-01-13 12,-5.4,0.6
108,서울,2017-01-13 13,-3.7,
108,서울,2017-01-13 14,-2.2,
108,서울,2017-01-13 15,-1.4,
108,서울,2017-01-13 16,-2.0,
108,서울,2017-01-13 17,-3.0,
108,서울,2017-01-13 18,-4.1,
108,서울,2017-01-13 19,-4.9,
108,서울,2017-01-13 20,-6.8,
108,서울,2017-01-13 21,-7.7,
108,서울,2017-01-13 22,-8.1,
108,서울,2017-01-13 23,-8.6,
108,서울,2017-01-14 00,-8.6,
108,서울,2017-01-14 01,-8.7,
108,서울,2017-01-14 02,-8.9,
108,서울,2017-01-14 03,-8.8,
108,서울,2017-01-14 04,-9.2,
108,서울,2017-01-14 05,-9.5,
108,서울,2017-01-14 06,-9.6,
108,서울,2017-01-14 07,-9.9,
108,서울,2017-01-14 08,-10.5,
108,서울,2017-01-14 09,-10.3,
108,서울,2017-01-14 10,-9.5,
108,서울,2017-01-14 11,-8.3,
108,서울,2017-01-14 12,-7.5,
108,서울,2017-01-14 13,-6.7,
108,서울,2017-01-14 14,-6.1,
108,서울,2017-01-14 15,-5.7,
108,서울,2017-01-14 16,-5.5,
108,서울,2017-01-14 17,-6.5,
108,서울,2017-01-14 18,-7.3,
108,서울,2017-01-14 19,-7.8,
108,서울,2017-01-14 20,-8.2,
108,서울,2017-01-14 21,-8.3,
108,서울,2017-01-14 22,-8.8,
108,서울,2017-01-14 23,-9.4,
108,서울,2017-01-15 00,-9.4,
108,서울,2017-01-15 01,-9.8,
108,서울,2017-01-15 02,-10.4,
108,서울,2017-01-15 03,-10.5,
108,서울,2017-01-15 04,-10.3,
108,서울,2017-01-15 05,-10.8,
108,서울,2017-01-15 06,-10.9,
108,서울,2017-01-15 07,-11.2,
108,서울,2017-01-15 08,-11.4,
108,서울,2017-01-15 09,-10.3,
108,서울,2017-01-15 10,-8.5,
108,서울,2017-01-15 11,-6.6,
108,서울,2017-01-15 12,-5.5,
108,서울,2017-01-15 13,-4.6,
108,서울,2017-01-15 14,-3.4,
108,서울,2017-01-15 15,-1.8,
108,서울,2017-01-15 16,-1.1,
108,서울,2017-01-15 17,-1.9,
108,서울,2017-01-15 18,-3.4,
108,서울,2017-01-15 19,-4.0,
108,서울,2017-01-15 20,-4.2,
108,서울,2017-01-15 21,-4.6,
108,서울,2017-01-15 22,-4.7,
108,서울,2017-01-15 23,-5.3,
108,서울,2017-01-16 00,-6.0,
108,서울,2017-01-16 01,-6.9,
108,서울,2017-01-16 02,-7.4,
108,서울,2017-01-16 03,-7.8,
108,서울,2017-01-16 04,-7.8,
108,서울,2017-01-16 05,-8.4,
108,서울,2017-01-16 06,-8.7,
108,서울,2017-01-16 07,-8.7,
108,서울,2017-01-16 08,-8.9,
108,서울,2017-01-16 09,-8.2,
108,서울,2017-01-16 10,-5.2,
108,서울,2017-01-16 11,-2.0,
108,서울,2017-01-16 12,-1.3,
108,서울,2017-01-16 13,0.7,
108,서울,2017-01-16 14,2.3,
108,서울,2017-01-16 15,3.0,
108,서울,2017-01-16 16,3.0,
108,서울,2017-01-16 17,2.2,
108,서울,2017-01-16 18,0.0,
108,서울,2017-01-16 19,-1.2,
108,서울,2017-01-16 20,-2.2,
108,서울,2017-01-16 21,-2.8,
108,서울,2017-01-16 22,-3.3,
108,서울,2017-01-16 23,-4.0,
108,서울,2017-01-17 00,-4.5,
108,서울,2017-01-17 01,-5.0,
108,서울,2017-01-17 02,-5.2,
108,서울,2017-01-17 03,-5.7,
108,서울,2017-01-17 04,-6.0,
108,서울,2017-01-17 05,-6.3,
108,서울,2017-01-17 06,-6.5,
108,서울,2017-01-17 07,-6.7,
108,서울,2017-01-17 08,-7.0,
108,서울,2017-01-17 09,-5.8,
108,서울,2017-01-17 10,-3.9,
108,서울,2017-01-17 11,-1.9,
