지점번호,지점,일시,기온,강수량
108,서울,2017-03-15 03,2.5,,
108,서울,2017-03-15 04,1.9,,
108,서울,2017-03-15 05,1.2,,
108,서울,2017-03-15 06,0.8,,
108,서울,2017-03-15 07,0.4,,
108,서울,2017-03-15 08,1.5,,
108,서울,2017-03-15 09,4.8,,
108,서울,2017-03-15 10,7.7,,
108,서울,2017-03-15 11,9.5,,
108,서울,2017-03-15 12,10.3,,
108,서울,2017-03-15 13,11.4,,
108,서울,2017-03-15 14,12.3,,
108,서울,2017-03-15 15,13.1,,
108,서울,2017-03-15 16,12.7,,
108,서울,2017-03-15 17,11.0,,
108,서울,2017-03-15 18,9.6,,
108,서울,2017-03-15 19,7.9,,
108,서울,2017-03-15 20,6.7,,
108,서울,2017-03-15 21,5.5,,
108,서울,2017-03-15 22,4.4,,
108,서울,2017-03-15 23,3.9,,
108,서울,2017-03-16 00,3.6,,
108,서울,2017-03-16 01,3.2,,
108,서울,2017-03-16 02,2.5,,
108,서울,2017-03-16 03,2.1,,
108,서울,2017-03-16 04,2.0,,
108,서울,2017-03-16 05,1.8,,
108,서울,2017-03-16 06,1.3,,
108,서울,2017-03-16 07,1.1,,
108,서울,2017-03-16 08,1.9,,
108,서울,2017-03-16 09,4.8,,
108,서울,2017-03-16 10,7.6,,
108,서울,2017-03-16 11,9.4,,
108,서울,2017-03-16 12,10.5,,
108,서울,2017-03-16 13,11.6,,
108,서울,2017-03-16 14,12.0,,
108,서울,2017-03-16 15,12.2,,
108,서울,2017-03-16 16,13.4,,
108,서울,2017-03-16 17,11.6,,
108,서울,2017-03-16 18,9.7,,
108,서울,2017-03-16 19,7.5,,
108,서울,2017-03-16 20,6.1,,
108,서울,2017-03-16 21,5.3,,
108,서울,2017-03-16 22,4.6,,
108,서울,2017-03-16 23,4.0,,
108,서울,2017-03-17 00,3.7,,
108,서울,2017-03-17 01,3.3,,
108,서울,2017-03-17 02,2.7,,
108,서울,2017-03-17 03,2.4,,
108,서울,2017-03-17 04,1.9,,
108,서울,2017-03-17 05,1.9,,
108,서울,2017-03-17 06,1.7,,
108,서울,2017-03-17 07,1.3,,
108,서울,2017-03-17 08,2.2,,
108,서울,2017-03-17 09,5.0,,
108,서울,2017-03-17 10,7.4,,
108,서울,2017-03-17 11,10.8,,
108,서울,2017-03-17 12,12.3,,
108,서울,2017-03-17 13,13.0,,
108,서울,2017-03-17 14,14.4,,
108,서울,2017-03-17 15,15.1,,
108,서울,2017-03-17 16,15.5,,
108,서울,2017-03-17 17,14.1,,
108,서울,2017-03-17 18,11.4,,
108,서울,2017-03-17 19,9.0,,
108,서울,2017-03-17 20,7.8,,
108,서울,2017-03-17 21,7.4,,
108,서울,2017-03-17 22,7.0,,
108,서울,2017-03-17 23,6.6,,
108,서울,2017-03-18 00,6.6,,
108,서울,2017-03-18 01,6.6,,
108,서울,2017-03-18 02,6.5,,
108,서울,2017-03-18 03,6.4,,
108,서울,2017-03-18 04,6.2,,
108,서울,2017-03-18 05,6.1,,
108,서울,2017-03-18 06,5.9,,
108,서울,2017-03-18 07,6.1,,
108,서울,2017-03-18 08,6.5,,
108,서울,2017-03-18 09,8.0,,
108,서울,2017-03-18 10,10.9,,
108,서울,2017-03-18 11,12.8,,
108,서울,2017-03-18 12,14.4,,
108,서울,2017-03-18 13,15.7,,
108,서울,2017-03-18 14,15.7,,
108,서울,2017-03-18 15,15.1,,
108,서울,2017-03-18 16,14.2,,
108,서울,2017-03-18 17,12.8,,
108,서울,2017-03-18 18,11.3,,
108,서울,2017-03-18 19,9.7,,
108,서울,2017-03-18 20,8.9,,
108,서울,2017-03-18 21,8.3,,
108,서울,2017-03-18 22,7.5,,
108,서울,2017-03-18 23,6.9,,
108,서울,2017-03-19 00,6.3,,
108,서울,2017-03-19 01,5.9,,
108,서울,2017-03-19 02,5.4,,
108,서울,2017-03-19 03,4.8,,
108,서울,2017-03-19 04,4.4,,
108,서울,2017-03-19 05,4.0,,
108,서울,2017-03-19 06,3.6,,
108,서울,2017-03-19 07,3.3,,
108,서울,2017-03-19 08,4.3,,
108,서울,2017-03-19 09,6.9,,
108,서울,2017-03-19 10,10.5,,
108,서울,2017-03-19 11,13.3,,
108,서울,2017-03-19 12,14.9,,
108,서울,2017-03-19 13,16.5,,
108,서울,2017-03-19 14,18.1,,
108,서울,2017-03-19 15,18.8,,
108,서울,2017-03-19 16,17.3,,
108,서울,2017-03-19 17,17.4,,
108,서울,2017-03-19 18,16.4,,
108,서울,2017-03-19 19,14.7,,
108,서울,2017-03-19 20,13.7,,
108,서울,2017-03-19 21,12.5,,
108,서울,2017-03-19 22,11.5,,
108,서울,2017-03-19 23,10.2,,
108,서울,2017-03-20 00,9.4,,
108,서울,2017-03-20 01,8.6,,
108,서울,2017-03-20 02,8.2,,
108,서울,2017-03-20 03,7.5,,
108,서울,2017-03-20 04,6.8,,
108,서울,2017-03-20 05,6.3,,
108,서울,2017-03-20 06,6.2,,
108,서울,2017-03-20 07,6.0,,
108,서울,2017-03-20 08,7.8,,
108,서울,2017-03-20 09,9.7,,
108,서울,2017-03-20 10,11.3,,
108,서울,2017-03-20 11,12.6,,
108,서울,2017-03-20 12,13.2,,
108,서울,2017-03-20 13,13.7,,
108,서울,2017-03-20 14,14.3,,
108,서울,2017-03-20 15,15.3,,
108,서울,2017-03-20 16,15.2,,
108,서울,2017-03-20 17,14.3,,
108,서울,2017-03-20 18,13.0,,
108,서울,2017-03-20 19,12.3,,
108,서울,2017-03-20 20,10.2,,
108,서울,2017-03-20 21,9.0,,
108,서울,2017-03-20 22,8.7,,
108,서울,2017-03-20 23,8.2,,
108,서울,2017-03-21 00,7.7,,
108,서울,2017-03-21 01,7.2,,
108,서울,2017-03-21 02,6.4,,
108,서울,2017-03-21 03,6.0,,
108,서울,2017-03-21 04,5.7,,
