LocNumber,Loc,Date,Temp,Prec
108,서울,2017-05-12 14,20.2,,
108,서울,2017-05-12 15,19.3,,
108,서울,2017-05-12 16,19.8,,
108,서울,2017-05-12 17,19.8,,
108,서울,2017-05-12 18,19.8,,
108,서울,2017-05-12 19,19.6,,
108,서울,2017-05-12 20,19.1,,
108,서울,2017-05-12 21,18.6,,
108,서울,2017-05-12 22,18.2,,
108,서울,2017-05-12 23,17.6,,
108,서울,2017-05-13 00,16.8,,
108,서울,2017-05-13 01,16.4,,
108,서울,2017-05-13 02,16.1,,
108,서울,2017-05-13 03,15.8,,
108,서울,2017-05-13 04,15.5,,
108,서울,2017-05-13 05,15.1,,
108,서울,2017-05-13 06,14.8,,
108,서울,2017-05-13 07,15.5,,
108,서울,2017-05-13 08,17.1,,
108,서울,2017-05-13 09,19.1,,
108,서울,2017-05-13 10,20.6,,
108,서울,2017-05-13 11,20.6,,
108,서울,2017-05-13 12,22.6,,
108,서울,2017-05-13 13,22.0,,
108,서울,2017-05-13 14,22.2,,
108,서울,2017-05-13 15,18.4,4.0,
108,서울,2017-05-13 16,16.3,2.0,
108,서울,2017-05-13 17,15.2,,
108,서울,2017-05-13 18,14.8,,
108,서울,2017-05-13 19,15.0,,
108,서울,2017-05-13 20,14.2,,
108,서울,2017-05-13 21,13.6,,
108,서울,2017-05-13 22,13.1,,
108,서울,2017-05-13 23,12.8,,
108,서울,2017-05-14 00,12.4,,
108,서울,2017-05-14 01,12.3,,
108,서울,2017-05-14 02,12.1,,
108,서울,2017-05-14 03,11.9,,
108,서울,2017-05-14 04,11.7,,
108,서울,2017-05-14 05,11.4,,
108,서울,2017-05-14 06,11.1,,
108,서울,2017-05-14 07,11.9,,
108,서울,2017-05-14 08,14.1,,
108,서울,2017-05-14 09,15.8,,
108,서울,2017-05-14 10,17.1,,
108,서울,2017-05-14 11,18.3,,
108,서울,2017-05-14 12,18.6,,
108,서울,2017-05-14 13,19.4,,
108,서울,2017-05-14 14,20.0,,
108,서울,2017-05-14 15,20.5,,
108,서울,2017-05-14 16,20.3,,
108,서울,2017-05-14 17,19.7,,
108,서울,2017-05-14 18,18.9,,
108,서울,2017-05-14 19,17.3,,
108,서울,2017-05-14 20,15.7,,
108,서울,2017-05-14 21,15.0,,
108,서울,2017-05-14 22,14.3,,
108,서울,2017-05-14 23,14.0,,
108,서울,2017-05-15 00,13.4,,
108,서울,2017-05-15 01,12.9,,
108,서울,2017-05-15 02,12.9,,
108,서울,2017-05-15 03,12.6,,
108,서울,2017-05-15 04,12.4,,
108,서울,2017-05-15 05,12.5,,
108,서울,2017-05-15 06,12.4,,
108,서울,2017-05-15 07,13.3,,
108,서울,2017-05-15 08,15.0,,
108,서울,2017-05-15 09,16.6,,
108,서울,2017-05-15 10,17.1,,
108,서울,2017-05-15 11,18.4,,
108,서울,2017-05-15 12,19.0,,
108,서울,2017-05-15 13,18.8,,
108,서울,2017-05-15 14,19.6,,
108,서울,2017-05-15 15,19.2,,
108,서울,2017-05-15 16,18.9,,
108,서울,2017-05-15 17,18.1,,
108,서울,2017-05-15 18,17.8,,
108,서울,2017-05-15 19,17.1,,
108,서울,2017-05-15 20,16.6,,
108,서울,2017-05-15 21,16.2,0.0,
108,서울,2017-05-15 22,15.4,0.0,
108,서울,2017-05-15 23,14.4,,
108,서울,2017-05-16 00,13.8,,
108,서울,2017-05-16 01,13.6,,
108,서울,2017-05-16 02,13.7,,
108,서울,2017-05-16 03,13.5,,
108,서울,2017-05-16 04,13.4,,
108,서울,2017-05-16 05,13.4,,
108,서울,2017-05-16 06,13.4,,
108,서울,2017-05-16 07,13.5,,
108,서울,2017-05-16 08,15.1,,
108,서울,2017-05-16 09,16.8,,
108,서울,2017-05-16 10,18.4,,
108,서울,2017-05-16 11,19.5,,
108,서울,2017-05-16 12,20.6,,
108,서울,2017-05-16 13,21.4,,
108,서울,2017-05-16 14,21.3,,
108,서울,2017-05-16 15,21.8,,
108,서울,2017-05-16 16,21.1,,
108,서울,2017-05-16 17,20.8,,
108,서울,2017-05-16 18,21.2,,
108,서울,2017-05-16 19,20.1,,
108,서울,2017-05-16 20,17.3,,
108,서울,2017-05-16 21,15.7,,
108,서울,2017-05-16 22,15.2,,
108,서울,2017-05-16 23,14.8,,
108,서울,2017-05-17 00,14.1,,
108,서울,2017-05-17 01,13.7,,
108,서울,2017-05-17 02,13.3,,
108,서울,2017-05-17 03,13.1,,
108,서울,2017-05-17 04,12.8,,
108,서울,2017-05-17 05,12.6,,
108,서울,2017-05-17 06,12.3,,
108,서울,2017-05-17 07,13.3,,
108,서울,2017-05-17 08,15.6,,
108,서울,2017-05-17 09,18.2,,
108,서울,2017-05-17 10,20.1,,
108,서울,2017-05-17 11,21.9,,
108,서울,2017-05-17 12,23.0,,
108,서울,2017-05-17 13,24.6,,
108,서울,2017-05-17 14,25.6,,
108,서울,2017-05-17 15,25.5,,
108,서울,2017-05-17 16,25.7,,
108,서울,2017-05-17 17,25.4,,
108,서울,2017-05-17 18,24.1,,
108,서울,2017-05-17 19,21.8,,
108,서울,2017-05-17 20,19.4,,
108,서울,2017-05-17 21,17.7,,
108,서울,2017-05-17 22,16.8,,
108,서울,2017-05-17 23,16.1,,
108,서울,2017-05-18 00,15.6,,
108,서울,2017-05-18 01,15.1,,
108,서울,2017-05-18 02,14.9,,
108,서울,2017-05-18 03,14.6,,
108,서울,2017-05-18 04,14.3,,
108,서울,2017-05-18 05,14.0,,
108,서울,2017-05-18 06,13.9,,
108,서울,2017-05-18 07,14.8,,
108,서울,2017-05-18 08,17.6,,
108,서울,2017-05-18 09,20.4,,
108,서울,2017-05-18 10,22.0,,
108,서울,2017-05-18 11,23.7,,
108,서울,2017-05-18 12,24.7,,
108,서울,2017-05-18 13,26.8,,
108,서울,2017-05-18 14,26.3,,
108,서울,2017-05-18 15,26.2,,
108,서울,2017-05-18 16,26.4,,
108,서울,2017-05-18 17,25.9,,
108,서울,2017-05-18 18,24.8,,
108,서울,2017-05-18 19,23.2,,
108,서울,2017-05-18 20,21.5,,
108,서울,2017-05-18 21,20.3,,
108,서울,2017-05-18 22,19.5,,
108,서울,2017-05-18 23,18.8,,
108,서울,2017-05-19 00,18.2,,
108,서울,2017-05-19 01,17.7,,
108,서울,2017-05-19 02,17.2,,
108,서울,2017-05-19 03,16.5,,
108,서울,2017-05-19 04,15.8,,
108,서울,2017-05-19 05,15.4,,
108,서울,2017-05-19 06,15.1,,
108,서울,2017-05-19 07,15.8,,
108,서울,2017-05-19 08,19.2,,
108,서울,2017-05-19 09,21.1,,
108,서울,2017-05-19 10,23.4,,
108,서울,2017-05-19 11,25.0,,
108,서울,2017-05-19 12,26.4,,
108,서울,2017-05-19 13,27.2,,
108,서울,2017-05-19 14,27.4,,
108,서울,2017-05-19 15,27.5,,
108,서울,2017-05-19 16,27.0,,
108,서울,2017-05-19 17,25.2,,
108,서울,2017-05-19 18,25.0,,
108,서울,2017-05-19 19,22.5,,
