"","country","lon","lat"
"505","Russia",116.7102,51.7968
"515","China",107.990638,33.524483
"516","China",102.364372,30.99903
"517","China",102.364372,30.99903
"518","China",102.81464,30.368117
"519","China",102.364372,30.99903
"520","China",102.364372,30.99903
"521","China",109.629918,31.370137
"522","China",102.81464,30.368117
"523","China",102.364372,30.99903
"524","China",102.364372,30.99903
"525","China",102.364372,30.99903
"526","China",102.81464,30.368117
"527","China",102.364372,30.99903
"528","China",102.364372,30.99903
"529","China",102.364372,30.99903
"530","China",102.81464,30.368117
"531","China",107.990638,33.524483
"532","China",106.77122,33.978394
"533","China",102.364372,30.99903
"534","China",102.364372,30.99903
"535","China",110.327336,33.69578
"536","China",102.364372,30.99903
"537","China",102.81464,30.368117
"538","China",102.81464,30.368117
"539","China",110.327336,33.69578
"540","China",102.364372,30.99903
"541","China",102.364372,30.99903
"542","China",102.81464,30.368117
"543","China",102.364372,30.99903
"544","China",102.81464,30.368117
"551","Japan",137.433333,36.45
"552","China",103.708727,35.36984
"553","China",102.546111,30.911944
"554","China",103.507111,34.589587
"565","Japan",138.416667,35.716667
"575","China",88.069013,47.810049
"576","China",100.229945,26.876096
"577","China",89.477538,46.523792
"580","Japan",137.1,36.4
"585","China",132.937135,45.762673
"586","China",100.229945,26.876096
"587","China",100.229945,26.876096
"588","China",100.229945,26.876096
"594","Japan",144.46089,43.61419
"598","China",101.96483,30.055305
"599","China",102.234618,29.914155
"600","China",101.96483,30.055305
"601","China",102.234618,29.914155
"602","China",101.96483,30.055305
"603","China",101.96483,30.055305
"604","China",101.96483,30.055305
"605","China",101.96483,30.055305
"606","China",102.234618,29.914155
"607","China",101.96483,30.055305
"608","China",101.96483,30.055305
"609","China",101.96483,30.055305
"610","China",101.96483,30.055305
"611","China",102.234618,29.914155
"612","China",101.96483,30.055305
"613","China",101.96483,30.055305
"614","China",101.96483,30.055305
"615","China",101.96483,30.055305
"616","China",101.96483,30.055305
"621","China",102.546111,30.911944
"622","China",107.990638,33.524483
"623","China",103.853481,31.68115
"629","China",128.225266,45.043198
"630","China",128.514494,42.786504
"631","China",128.225266,45.043198
"634","China",126.91814,41.812003
"635","China",122.128809,40.263211
"636","China",126.91814,41.812003
"637","China",122.128809,40.263211
"638","China",126.91814,41.812003
"639","China",115.998105,29.61015
"640","China",115.998105,29.61015
"642","Russia",134.43532,43.734121
"643","China",99.28717,27.177166
"644","Russia",134.314127,43.121974
"645","Russia",134.04694,43.282554
"646","Russia",134.04694,43.282554
"647","China",99.706013,27.82308
"648","China",99.706013,27.82308
"649","China",102.546111,30.911944
"650","China",100.229945,26.876096
"651","China",100.229945,26.876096
"652","China",100.229945,26.876096
"653","China",99.28717,27.177166
"654","China",101.96483,30.055305
"655","China",98.911543,28.48611
"656","China",114.150771,38.890348
"657","China",98.911543,28.48611
"660","China",114.150771,38.890348
"661","China",101.96483,30.055305
"662","Japan",137.133333,36.4
"664","Japan",137.133333,36.4
"668","China",99.706013,27.82308
"669","China",101.96483,30.055305
"670","China",105.726028,34.568696
"671","China",105.608676,33.329121
"672","China",101.96483,30.055305
"674","China",102.234618,29.914155
"675","China",107.249372,33.976206
"676","China",109.432368,35.761976
"677","China",106.951604,34.426735
"678","China",98.911543,28.48611
"679","China",103.59895,32.637983
"680","China",100.709787,24.615701
"681","China",101.507299,29.000343
"682","China",103.59895,32.637983
"683","China",99.706013,27.82308
"684","China",103.59895,32.637983
"685","China",99.706013,27.82308
"686","China",101.279419,27.928607
"687","China",100.298406,29.037008
"688","China",100.709787,24.615701
"689","China",99.706013,27.82308
