"kind","country","lon","lat"
"Taxus cuspidata","United States",-72.25361,41.80916
"Taxus cuspidata","Japan",140.58763,39.46578
"Taxus cuspidata","Japan",140.118611,37.018611
"Taxus cuspidata","Japan",140.10284,39.71817
"Taxus cuspidata","Japan",134.061756,33.735434
"Taxus cuspidata","Japan",139.93459,40.65416
"Taxus cuspidata","Japan",134.061756,33.735434
"Taxus cuspidata","Russia",133.478521,44.424883
"Taxus cuspidata","Russia",133.478521,44.424883
"Taxus cuspidata","Japan",139.32764,35.31932
"Taxus cuspidata","Russia",133.478521,44.424883
"Taxus cuspidata","Poland",22.88,52.45
"Taxus cuspidata","Poland",22.88,52.45
"Taxus cuspidata","Japan",139.8158,37.8115
"Taxus cuspidata","Poland",22.9285,52.5238
"Taxus cuspidata","Japan",140.4432,38.1412
"Taxus cuspidata","Japan",135.07942,35.12956
"Taxus cuspidata","Japan",134.16086,33.697052
"Taxus cuspidata","Japan",140.2091,38.5331
"Taxus cuspidata","Japan",140.496,38.3323
"Taxus cuspidata","Japan",139.9833,38.1796
"Taxus cuspidata","Japan",140.69554,39.67985
"Taxus cuspidata","Japan",136.715509,36.066727
"Taxus cuspidata","Japan",140.73969,36.80775
"Taxus cuspidata","Japan",140.4319,38.152
"Taxus cuspidata","United States",-106.620597,35.084341
"Taxus cuspidata","United States",-106.620084,35.084415
"Taxus cuspidata","United States",-106.620084,35.084415
"Taxus cuspidata","United States",-73.875413,40.856767
"Taxus cuspidata","Japan",140.4923,38.9022
"Taxus cuspidata","Japan",135.07942,35.12956
"Taxus cuspidata","Japan",136.46,36.09
"Taxus cuspidata","Japan",138.965833,36.838333
"Taxus cuspidata","Japan",138.965278,36.851944
"Taxus cuspidata","Japan",136.46,36.09
"Taxus cuspidata","Japan",136.324822,36.283385
"Taxus cuspidata","Japan",136.51,36.1
"Taxus cuspidata","Japan",136.89937,36.27143
"Taxus cuspidata","Japan",141.23145,39.37525
"Taxus cuspidata","Japan",140.3956,40.61702
"Taxus cuspidata","Japan",140.2438,39.73532
"Taxus cuspidata","Japan",138.19467,36.64853
"Taxus cuspidata","China",123.799084,41.292753
"Taxus cuspidata","China",123.799084,41.292753
"Taxus cuspidata","Japan",140.47559,39.4533
"Taxus cuspidata","Japan",141.11357,39.28628
"Taxus cuspidata","Japan",136.933333,36.333333
"Taxus cuspidata","Japan",138.9239,37.52877
"Taxus cuspidata","Japan",138.9239,37.52877
"Taxus cuspidata","Japan",139.8796,38.1976
"Taxus cuspidata","Japan",140.47559,39.4533
"Taxus cuspidata","Japan",140.76921,39.32122
"Taxus cuspidata","Japan",139.9137,38.3059
"Taxus cuspidata","Japan",139.744,35.70124
"Taxus cuspidata","Japan",139.744,35.70124
"Taxus cuspidata","Japan",141.15271,39.70304
"Taxus cuspidata","United States",-87.639968,41.645042
"Taxus cuspidata","United States",-72.69166,41.98333
"Taxus cuspidata","Japan",137.55,36.75
"Taxus cuspidata","Japan",139.9222,38.2606
"Taxus cuspidata","Japan",137.55,36.75
"Taxus cuspidata","Japan",138.085694,36.740306
"Taxus cuspidata","United States",-76.885034,40.955039
"Taxus cuspidata","Japan",140.19655,38.37773
"Taxus cuspidata","Japan",140.19655,38.37773
"Taxus cuspidata","Japan",139.565071,36.952802
"Taxus cuspidata","Japan",139.911667,36.441667
"Taxus cuspidata","Japan",141.57538,40.45414
"Taxus cuspidata","Japan",137.55,36.75
"Taxus cuspidata","United States",-72.9247,41.3114
"Taxus cuspidata","Japan",138.779722,36.809167
"Taxus cuspidata","China",105.726027,34.568696
"Taxus cuspidata","Japan",141.563056,42.985278
"Taxus cuspidata","Japan",141.563056,42.985278
"Taxus cuspidata","Japan",134.110113,33.694691
"Taxus cuspidata","Japan",140.86861,40.67619
"Taxus cuspidata","Japan",134.110113,33.694691
"Taxus cuspidata","Japan",134.110113,33.694691
"Taxus cuspidata","Japan",137.483333,36.933333
"Taxus cuspidata","Japan",137.566667,36.783333
"Taxus cuspidata","Japan",138.96302,36.86972
"Taxus cuspidata","Japan",133.53,35.37
"Taxus cuspidata","Japan",138.19467,36.64853
"Taxus cuspidata","Japan",140.48952,36.34249
"Taxus cuspidata","Japan",140.48952,36.34249
"Taxus cuspidata","Japan",140.48952,36.34249
